,customer_id,age,gender,region,customer_type,plan_type,plan_tier,monthly_fee_€,contract_length_months,auto_renewal,subscription_status,avg_monthly_data_gb,avg_monthly_voice_minutes,sms_per_month,roaming_last_3m,loyalty_member,app_logins_per_month,dropped_calls_last_month,avg_download_speed_mbps,coverage_complaints_6m,csat_score,payment_method,on_time_payments,late_payments_6m,outstanding_balance_€,discount_last_renewal,downgraded_last_6m,last_offer_accepted,campaign_ctr,support_tickets_6m,avg_resolution_time_hrs,email_open_rate,nps_score,subscription_start_date,subscription_end_date,first_name,last_name,full_name,email,Phone,tenure_days
0,TI-2025-000001,56,Female,Dublin,Business,SIM-only,Freedom,32,1,Yes,Active,76.5,1369,341,Yes,Yes,0,14,211.2,1,4,Credit Card,Yes,2,24.92,Yes,Yes,Yes,0.16,2,63.6,0.04,-39,2025-01-18,2025-02-17,Angela,Wright,Angela Wright,angela_wright@gmail.com,+353-1-5467893,30
1,TI-2023-000002,69,Male,Dublin,Family,Prepay,Freedom,50,24,Yes,Active,87.1,71,285,No,Yes,18,18,107.1,0,3,Credit Card,No,2,415.94,No,No,Yes,0.42,4,3.8,0.5,-15,2023-12-16,2025-12-05,Ryan,Taylor,Ryan Taylor,ryan_taylor@hotmail.com,+353-1-6002248,720
2,TI-2022-000003,46,Male,Other,Business,Prepay,Freedom,89,12,No,Active,66.9,269,171,No,No,13,9,267.9,3,1,Credit Card,Yes,3,155.17,No,No,Yes,0.19,4,47.1,0.89,-28,2022-12-15,2023-12-10,Steven,Carter,Steven Carter,steven_carter@yahoo.com,+353-89-1081646,360
3,TI-2024-000004,32,Male,Other,Family,Prepay,Unlimited,37,12,No,Active,86.3,286,467,No,Yes,2,11,151.2,1,4,Credit Card,Yes,2,31.55,No,No,No,0.59,1,34.9,0.82,27,2024-12-01,2025-11-26,Paul,Martin,Paul Martin,paul_martin@outlook.com,+353-89-5469913,360
4,TI-2025-000005,60,Male,Cork,Individual,Prepay,Unlimited,57,0,Yes,Active,15.7,65,235,No,Yes,1,5,194.1,2,5,Debit Card,Yes,1,37.39,Yes,No,No,0.39,1,12.0,0.25,-41,2025-03-17,2025-12-12,Ronald,Anderson,Ronald Anderson,ronald_anderson@yahoo.com,+353-21-5298036,270
5,TI-2022-000006,25,Male,Other,Individual,SIM-only,Freedom,47,12,Yes,Active,38.0,879,474,No,Yes,23,12,63.7,1,2,Credit Card,Yes,0,125.88,No,No,Yes,0.42,1,53.8,0.91,-37,2022-12-06,2023-12-01,Samuel,Nguyen,Samuel Nguyen,samuel_nguyen@mail.com,+353-89-4763150,360
6,TI-2023-000007,38,Male,Cork,Family,Postpay,Unlimited,40,0,Yes,Cancelled,88.3,67,165,No,No,4,3,125.8,4,1,Debit Card,Yes,5,89.01,No,Yes,No,0.31,3,30.2,0.48,77,2023-03-25,2023-10-11,Dennis,Campbell,Dennis Campbell,dennis_campbell@outlook.com,+353-21-8568518,200
7,TI-2025-000008,56,Male,Galway,Individual,Postpay,Essentials,23,12,Yes,Active,24.2,1216,186,No,Yes,16,12,258.9,0,1,Debit Card,Yes,1,387.15,Yes,No,No,0.17,4,38.7,0.05,-49,2025-03-01,2026-02-24,George,Nguyen,George Nguyen,george_nguyen@mail.com,+353-91-820088,360
8,TI-2025-000009,36,Male,Dublin,Individual,Postpay,Freedom,82,24,Yes,Active,12.4,1402,169,Yes,No,27,16,64.7,4,3,Direct Debit,No,0,160.84,Yes,No,No,0.44,0,69.7,0.03,44,2025-01-09,2026-12-30,Justin,Taylor,Justin Taylor,justin_taylor@yahoo.com,+353-1-7780245,720
9,TI-2024-000010,40,Female,Galway,Individual,Prepay,Freedom,100,24,No,Active,79.9,973,51,No,Yes,17,0,117.8,3,1,Credit Card,Yes,2,402.35,No,No,Yes,0.32,1,35.5,0.49,-41,2024-04-21,2026-04-11,Victoria,Nelson,Victoria Nelson,victoria_nelson@mail.com,+353-91-896119,720
10,TI-2025-000011,28,Female,Dublin,Business,Postpay,Freedom,97,12,No,Active,84.4,507,318,No,No,0,4,96.1,2,4,Direct Debit,No,5,86.92,Yes,No,No,0.12,2,59.5,0.55,-24,2025-06-22,2026-06-17,Samantha,Martinez,Samantha Martinez,samantha_martinez@gmail.com,+353-1-8046740,360
11,TI-2022-000012,28,Female,Other,Individual,Postpay,Essentials,86,1,No,Active,20.5,2884,188,No,Yes,14,16,46.2,0,4,Credit Card,Yes,1,246.44,Yes,Yes,No,0.4,0,55.6,0.08,18,2022-10-19,2022-11-18,Donna,Anderson,Donna Anderson,donna_anderson@gmail.com,+353-83-4264413,30
12,TI-2024-000013,41,Female,Galway,Individual,Postpay,Unlimited,99,24,Yes,Active,86.2,1125,119,No,No,21,17,87.6,1,4,Debit Card,Yes,4,344.02,No,No,No,0.33,0,48.1,0.92,81,2024-08-16,2026-08-06,Anna,Lee,Anna Lee,anna_lee@icloud.com,+353-91-732738,720
13,TI-2023-000014,53,Female,Galway,Individual,SIM-only,Essentials,38,12,No,Active,70.2,885,104,No,Yes,8,6,70.6,2,5,Debit Card,No,3,326.0,No,No,No,0.17,0,64.7,0.72,37,2023-07-08,2024-07-02,Catherine,Hernandez,Catherine Hernandez,catherine_hernandez@outlook.com,+353-91-893480,360
